Id	Label	type	date
OC371	En lágrimas salgan mudos	ref	1621
OC372	Guarda corderos, zagala,	ref	1621
OC373	Las tres auroras que el Tajo,	ref	1621
OC374	El conde mi señor se va a Napóles	ref	1622
OC375	Al tronco descansaba de una encina	ref	1622
OC376	Mataron al señor Villamediana:	ref	1622
OC377	Siempre le pedí al Amor,	ref	1622
OC378	Esta hermosa prisión,	ref	1622
OC379	Al hermoso dueño mío,	ref	1622
OC380	Señor, pues sois mi remedio,	ref	1622
OC381	Yace aquí Flor, un perrillo	ref	1622
OC382	Tropezó un día Dantea,	ref	1622
OC383	«Ave del plumaje negro,	ref	1622
OC384	La cítara que pendiente	ref	1622
OC385	Quién pudiera dar un vuelo	ref	1622
OC386	Con razón, gloria excelsa de Velada,	ref	1623
OC387	Mariposa, no solo no cobarde,	ref	1623
OC388	En este occidental, en este, oh Licio,	ref	1623
OC389	Menos solicitó veloz saeta	ref	1623
OC390	Oro no rayó así flamante grana	ref	1623
OC391	En la capilla estoy y condenado	ref	1623
OC392	Camina mi pensión con pie de plomo,	ref	1623
OC393	De la Merced, señores, despedido,	ref	1623
OC394	Sople rabiosamente conjurado	ref	1623
OC395	Cuantos forjare más hierros el hado	ref	1623
OC396	Ni a rayo el sol perdonó,	ref	1623
OC397	Los días de Noé bien recelara	ref	1624
OC398	Undosa tumba da al farol del día	ref	1624
OC399	Ciudad gloriosa, cuyo excelso muro	ref	1624
OC400	Doctor barbado, crüel	ref	1624
OC401	Con Marfisa en la estacada	ref	1624
OC402	Casado el otro se halla	ref	1624
OC403	Oh tú de los bachilleres,	ref	1624
OC404	¡Oh jurisprudencia! ¡Cuál	ref	1624
OC405	Un conde prometedor	ref	1624
OC406	Quisiera, roma infeliz,	ref	1624
OC407	Tejió de piernas de araña	ref	1624
OC408	Pondérenos la experiencia,	ref	1624
OC409	Nace el niño y, velo a velo,	ref	1624
OC410	Las duras cerdas que vistió celoso	ref	1625
OC411	Tu beldad, Clori, adoré,	ref	1625
OC412	Al cardenal mi señor	ref	1625
OC413	Absolvamos el sufrir,	ref	1625
OC414	A la fuente va, del Olmo,	ref	1625
OC415	El líquido cristal que hoy desta fuente	ref	1625
OC416	Generoso mancebo,	ref	1625
OC417	Todo se murmura	ref	1625
OC418	Doña Menga, ¿de qué te ríes?	ref	1625
